time	V(input_signal)	V(v_out)	I(Speaker)
6.282873572304313e-06	2.578933e+00	2.094964e+00	2.618705e-01
6.296105727098924e-06	2.579098e+00	2.095046e+00	2.618808e-01
6.304037950579073e-06	2.579198e+00	2.095096e+00	2.618870e-01
6.315767694666265e-06	2.579346e+00	2.095169e+00	2.618961e-01
6.327497438753457e-06	2.579493e+00	2.095241e+00	2.619051e-01
6.339227182840649e-06	2.579640e+00	2.095313e+00	2.619141e-01
6.350956926927841e-06	2.579787e+00	2.095385e+00	2.619231e-01
6.362686671015033e-06	2.579935e+00	2.095456e+00	2.619320e-01
6.374416415102225e-06	2.580082e+00	2.095527e+00	2.619409e-01
6.386146159189417e-06	2.580229e+00	2.095598e+00	2.619497e-01
6.407279004564808e-06	2.580494e+00	2.095723e+00	2.619654e-01
6.417331324173955e-06	2.580621e+00	2.095784e+00	2.619730e-01
6.426434640051748e-06	2.580735e+00	2.095838e+00	2.619797e-01
6.478315433296887e-06	2.581386e+00	2.096143e+00	2.620179e-01
6.833238469818655e-06	2.585843e+00	2.098207e+00	2.622758e-01
6.945257049142077e-06	2.587249e+00	2.098897e+00	2.623622e-01
6.999233682985539e-06	2.587927e+00	2.099242e+00	2.624053e-01
7.046217765305076e-06	2.588516e+00	2.099556e+00	2.624445e-01
7.175745233290846e-06	2.590142e+00	2.100667e+00	2.625833e-01
7.305272701276616e-06	2.591768e+00	2.101765e+00	2.627206e-01
7.434800169262386e-06	2.593394e+00	2.102850e+00	2.628563e-01
7.564327637248155e-06	2.595020e+00	2.103923e+00	2.629903e-01
7.693855105233926e-06	2.596646e+00	2.104983e+00	2.631228e-01
7.823382573219695e-06	2.598272e+00	2.106030e+00	2.632537e-01
7.952910041205465e-06	2.599898e+00	2.107064e+00	2.633830e-01
8.029038049870104e-06	2.600853e+00	2.107540e+00	2.634425e-01
8.053451716784240e-06	2.601160e+00	2.107685e+00	2.634606e-01
8.096645684361608e-06	2.601702e+00	2.107929e+00	2.634911e-01
8.139839651938975e-06	2.602244e+00	2.108177e+00	2.635221e-01
8.183033619516343e-06	2.602786e+00	2.108429e+00	2.635536e-01
8.226227587093709e-06	2.603328e+00	2.108685e+00	2.635856e-01
8.269421554671077e-06	2.603870e+00	2.108945e+00	2.636182e-01
8.312615522248445e-06	2.604412e+00	2.109210e+00	2.636512e-01
8.355809489825813e-06	2.604954e+00	2.109479e+00	2.636848e-01
8.453651416542214e-06	2.606182e+00	2.110131e+00	2.637663e-01
8.478008776451026e-06	2.606488e+00	2.110302e+00	2.637877e-01
8.543873830794379e-06	2.607314e+00	2.110791e+00	2.638488e-01
8.548233485598538e-06	2.607369e+00	2.110823e+00	2.638529e-01
8.556952795206857e-06	2.607478e+00	2.110890e+00	2.638613e-01
8.574391414423493e-06	2.607697e+00	2.111026e+00	2.638783e-01
8.578210502434268e-06	2.607745e+00	2.111056e+00	2.638820e-01
8.582793408047200e-06	2.607802e+00	2.111094e+00	2.638867e-01
8.695280665974738e-06	2.609214e+00	2.112196e+00	2.640245e-01
8.807767923902277e-06	2.610625e+00	2.113286e+00	2.641608e-01
8.920255181829815e-06	2.612037e+00	2.114365e+00	2.642956e-01
9.032742439757354e-06	2.613448e+00	2.115431e+00	2.644289e-01
9.145229697684892e-06	2.614859e+00	2.116486e+00	2.645608e-01
9.257716955612430e-06	2.616270e+00	2.117529e+00	2.646912e-01
9.370204213539969e-06	2.617682e+00	2.118560e+00	2.648200e-01
9.461669039571534e-06	2.618829e+00	2.119174e+00	2.648968e-01
9.553133865603100e-06	2.619976e+00	2.119799e+00	2.649749e-01
9.644598691634667e-06	2.621124e+00	2.120435e+00	2.650544e-01
9.736063517666232e-06	2.622271e+00	2.121083e+00	2.651354e-01
9.827528343697798e-06	2.623418e+00	2.121742e+00	2.652177e-01
9.918993169729363e-06	2.624565e+00	2.122411e+00	2.653014e-01
1.001045799576093e-05	2.625712e+00	2.123092e+00	2.653866e-01
1.007271729029070e-05	2.626493e+00	2.123626e+00	2.654532e-01
1.011840214686530e-05	2.627066e+00	2.124034e+00	2.655043e-01
1.016126974898435e-05	2.627604e+00	2.124431e+00	2.655539e-01
1.025695330931035e-05	2.628803e+00	2.125435e+00	2.656794e-01
1.035263686963636e-05	2.630003e+00	2.126431e+00	2.658039e-01
1.044832042996236e-05	2.631203e+00	2.127419e+00	2.659274e-01
1.054400399028836e-05	2.632403e+00	2.128399e+00	2.660498e-01
1.063968755061436e-05	2.633603e+00	2.129370e+00	2.661712e-01
1.073537111094037e-05	2.634802e+00	2.130332e+00	2.662915e-01
1.083105467126637e-05	2.636002e+00	2.131287e+00	2.664108e-01
1.092104005902076e-05	2.637130e+00	2.132014e+00	2.665018e-01
1.101102544677515e-05	2.638258e+00	2.132739e+00	2.665924e-01
1.110101083452955e-05	2.639386e+00	2.133462e+00	2.666827e-01
1.119099622228394e-05	2.640514e+00	2.134181e+00	2.667726e-01
1.128098161003833e-05	2.641642e+00	2.134898e+00	2.668622e-01
1.137096699779273e-05	2.642770e+00	2.135611e+00	2.669514e-01
1.146095238554712e-05	2.643898e+00	2.136322e+00	2.670403e-01
1.162486697247432e-05	2.645952e+00	2.137800e+00	2.672250e-01
1.166701665848841e-05	2.646481e+00	2.138197e+00	2.672747e-01
1.169825397018052e-05	2.646872e+00	2.138495e+00	2.673119e-01
1.172809594036524e-05	2.647246e+00	2.138783e+00	2.673478e-01
1.185148513567244e-05	2.648793e+00	2.140102e+00	2.675127e-01
1.197487433097965e-05	2.650339e+00	2.141401e+00	2.676751e-01
1.209826352628685e-05	2.651885e+00	2.142680e+00	2.678350e-01
1.222165272159406e-05	2.653431e+00	2.143940e+00	2.679924e-01
1.234504191690126e-05	2.654977e+00	2.145179e+00	2.681474e-01
1.246843111220847e-05	2.656523e+00	2.146398e+00	2.682998e-01
1.259182030751567e-05	2.658068e+00	2.147598e+00	2.684497e-01
1.266390073158224e-05	2.658971e+00	2.148220e+00	2.685275e-01
1.273598115564880e-05	2.659874e+00	2.148843e+00	2.686054e-01
1.280806157971536e-05	2.660777e+00	2.149468e+00	2.686834e-01
1.288014200378192e-05	2.661680e+00	2.150093e+00	2.687616e-01
1.295222242784848e-05	2.662583e+00	2.150719e+00	2.688399e-01
1.302430285191505e-05	2.663486e+00	2.151346e+00	2.689182e-01
1.309638327598161e-05	2.664388e+00	2.151974e+00	2.689967e-01
1.319535167203559e-05	2.665628e+00	2.152873e+00	2.691092e-01
1.324411157570088e-05	2.666238e+00	2.153328e+00	2.691660e-01
1.329506339964712e-05	2.666877e+00	2.153817e+00	2.692271e-01
1.337186689816601e-05	2.667838e+00	2.154602e+00	2.693253e-01
1.344867039668490e-05	2.668800e+00	2.155414e+00	2.694267e-01
1.352547389520379e-05	2.669762e+00	2.156251e+00	2.695314e-01
1.360227739372267e-05	2.670723e+00	2.157114e+00	2.696392e-01
1.367908089224156e-05	2.671685e+00	2.158003e+00	2.697504e-01
1.375588439076045e-05	2.672646e+00	2.158918e+00	2.698647e-01
1.383268788927934e-05	2.673608e+00	2.159858e+00	2.699823e-01
1.388403215706218e-05	2.674251e+00	2.160451e+00	2.700564e-01
1.388668408851583e-05	2.674284e+00	2.160481e+00	2.700601e-01
1.388986640626022e-05	2.674324e+00	2.160517e+00	2.700646e-01
1.389828234972514e-05	2.674429e+00	2.160612e+00	2.700765e-01
1.390669829319006e-05	2.674534e+00	2.160707e+00	2.700883e-01
1.391511423665499e-05	2.674640e+00	2.160800e+00	2.701001e-01
1.392353018011991e-05	2.674745e+00	2.160894e+00	2.701117e-01
1.393194612358484e-05	2.674850e+00	2.160986e+00	2.701233e-01
1.394036206704976e-05	2.674956e+00	2.161078e+00	2.701348e-01
1.394877801051469e-05	2.675061e+00	2.161170e+00	2.701462e-01
1.402302832948749e-05	2.675991e+00	2.161939e+00	2.702424e-01
1.409727864846030e-05	2.676920e+00	2.162678e+00	2.703348e-01
1.417152896743310e-05	2.677850e+00	2.163386e+00	2.704232e-01
1.424577928640590e-05	2.678779e+00	2.164063e+00	2.705079e-01
1.432002960537871e-05	2.679708e+00	2.164709e+00	2.705886e-01
1.439427992435151e-05	2.680637e+00	2.165324e+00	2.706655e-01
1.446853024332431e-05	2.681566e+00	2.165908e+00	2.707385e-01
1.463275091841108e-05	2.683622e+00	2.167333e+00	2.709166e-01
1.474005440739397e-05	2.684964e+00	2.168337e+00	2.710422e-01
1.480741299149399e-05	2.685807e+00	2.169002e+00	2.711253e-01
1.487034133812313e-05	2.686594e+00	2.169657e+00	2.712072e-01
1.504049326268467e-05	2.688723e+00	2.171625e+00	2.714531e-01
1.518923705687008e-05	2.690584e+00	2.173489e+00	2.716862e-01
1.526159053904954e-05	2.691489e+00	2.174428e+00	2.718035e-01
1.533394402122900e-05	2.692394e+00	2.175325e+00	2.719156e-01
1.540629750340846e-05	2.693299e+00	2.176180e+00	2.720225e-01
