time	V(in)	V(out1)	V(out2)
1.000000358647388e-01	0.000000e+00	4.723336e+00	4.973475e+00
1.000000386518712e-01	0.000000e+00	4.723321e+00	4.973474e+00
1.000000420484009e-01	0.000000e+00	4.723330e+00	4.973475e+00
1.000000459569576e-01	0.000000e+00	4.723325e+00	4.973475e+00
1.000000509370652e-01	0.000000e+00	4.723328e+00	4.973475e+00
1.000000571325404e-01	0.000000e+00	4.723326e+00	4.973475e+00
1.000000657762272e-01	0.000000e+00	4.723328e+00	4.973475e+00
1.000000781789268e-01	0.000000e+00	4.723327e+00	4.973475e+00
1.000876355715579e-01	0.000000e+00	4.723327e+00	4.973475e+00
1.001752143457257e-01	6.221677e-03	4.723327e+00	4.973475e+00
1.002251003558819e-01	1.591258e-02	4.723327e+00	4.973475e+00
1.002544679015861e-01	1.953125e-02	4.723327e+00	4.973475e+00
1.003604358710913e-01	1.953125e-02	4.723327e+00	4.973475e+00
1.004664216904516e-01	2.278646e-02	4.723327e+00	4.973475e+00
1.006783933291722e-01	3.417924e-02	4.723327e+00	4.973475e+00
1.010814709862224e-01	5.335677e-02	4.723327e+00	4.973475e+00
1.013024232990224e-01	6.353607e-02	4.723327e+00	4.973475e+00
1.015180549048284e-01	7.304835e-02	4.723327e+00	4.973475e+00
1.017515150597163e-01	8.289862e-02	4.723327e+00	4.973475e+00
1.022397963097163e-01	1.123047e-01	4.723327e+00	4.973475e+00
1.024839369347163e-01	1.220703e-01	4.723327e+00	4.973475e+00
1.029722181847163e-01	1.513672e-01	4.723327e+00	4.973475e+00
1.037046400597163e-01	1.806641e-01	4.723327e+00	4.973475e+00
1.041929213097163e-01	2.099609e-01	4.723327e+00	4.973475e+00
1.044370619347163e-01	2.197266e-01	4.723327e+00	4.973475e+00
1.049253431847163e-01	2.490234e-01	4.723327e+00	4.973475e+00
1.056577650597163e-01	2.783203e-01	4.723327e+00	4.973475e+00
1.061460463097163e-01	3.076172e-01	4.723327e+00	4.973475e+00
1.063901869347163e-01	3.173828e-01	4.723327e+00	4.973475e+00
1.068784681847163e-01	3.466797e-01	4.723327e+00	4.973475e+00
1.076108900597163e-01	3.759766e-01	4.723327e+00	4.973475e+00
1.080991713097163e-01	4.052734e-01	4.723327e+00	4.973475e+00
1.083433119347163e-01	4.150391e-01	4.723327e+00	4.973475e+00
1.088315931847163e-01	4.443359e-01	4.723327e+00	4.973475e+00
1.095640150597163e-01	4.736328e-01	4.723327e+00	4.973475e+00
1.100522963097163e-01	5.029297e-01	4.723327e+00	4.973475e+00
1.102964369347163e-01	5.126953e-01	4.723327e+00	4.973475e+00
1.107847181847163e-01	5.419922e-01	4.723327e+00	4.973475e+00
1.115171400597163e-01	5.712891e-01	4.723327e+00	4.973475e+00
1.120054213097163e-01	6.005859e-01	4.723327e+00	4.973475e+00
1.122495619347163e-01	6.103516e-01	4.723327e+00	4.973475e+00
1.127378431847163e-01	6.396484e-01	4.723327e+00	4.973475e+00
1.134702650597163e-01	6.689453e-01	4.723327e+00	4.973475e+00
1.139585463097163e-01	6.982422e-01	4.723327e+00	4.973475e+00
1.142026869347163e-01	7.080078e-01	4.723327e+00	4.973475e+00
1.146909681847163e-01	7.373047e-01	4.723327e+00	4.973475e+00
1.154233900597163e-01	7.666016e-01	4.723327e+00	4.973475e+00
1.159116713097163e-01	7.958984e-01	4.723327e+00	4.973475e+00
1.161558119347163e-01	8.056641e-01	4.723327e+00	4.973475e+00
1.166440931847163e-01	8.349609e-01	4.723327e+00	4.973475e+00
